Date;variable;values
2020-09-24;NewPositive;  559
2020-09-24;NotPrevPos;53885
2020-09-24;Antal_døde;    2
2020-09-24;Indlæggelser;   22
2020-09-25;NewPositive;  678
2020-09-25;NotPrevPos;57368
2020-09-25;Antal_døde;    2
2020-09-25;Indlæggelser;   21
2020-09-26;NewPositive;  619
2020-09-26;NotPrevPos;52161
2020-09-26;Antal_døde;    1
2020-09-26;Indlæggelser;   13
2020-09-27;NewPositive;  424
2020-09-27;NotPrevPos;46828
2020-09-27;Antal_døde;    1
2020-09-27;Indlæggelser;   13
2020-09-28;NotPrevPos;49143
2020-09-28;NewPositive;  435
2020-09-28;Antal_døde;    0
2020-09-28;Indlæggelser;   18
2020-09-29;NotPrevPos;45226
2020-09-29;NewPositive;  392
2020-09-29;Antal_døde;    1
2020-09-29;Indlæggelser;   16
2020-09-30;NotPrevPos;54946
2020-09-30;NewPositive;  534
2020-09-30;Antal_døde;    0
2020-09-30;Indlæggelser;   12
2020-10-01;NotPrevPos;49136
2020-10-01;NewPositive;  398
2020-10-01;Antal_døde;    1
2020-10-01;Indlæggelser;   19
2020-10-02;NotPrevPos;56080
2020-10-02;NewPositive;  536
2020-10-02;Antal_døde;    1
2020-10-02;Indlæggelser;   22
2020-10-03;NotPrevPos;41167
2020-10-03;NewPositive;  370
2020-10-03;Antal_døde;    2
2020-10-03;Indlæggelser;   14
2020-10-04;NotPrevPos;41791
2020-10-04;NewPositive;  378
2020-10-04;Antal_døde;    4
2020-10-04;Indlæggelser;   11
2020-10-05;NotPrevPos;36389
2020-10-05;NewPositive;  377
2020-10-05;Antal_døde;    1
2020-10-05;Indlæggelser;   18
2020-10-06;NotPrevPos;39326
2020-10-06;NewPositive;  322
2020-10-06;Antal_døde;    4
2020-10-06;Indlæggelser;   23
2020-10-07;NotPrevPos;42279
2020-10-07;NewPositive;  331
2020-10-07;Antal_døde;    0
2020-10-07;Indlæggelser;    6
2020-10-08;NotPrevPos;52623
2020-10-08;NewPositive;  446
2020-10-08;Antal_døde;    2
2020-10-08;Indlæggelser;   14
2020-10-09;NotPrevPos;55079
2020-10-09;NewPositive;  482
2020-10-09;Antal_døde;    0
2020-10-09;Indlæggelser;    7
