Type;Variable;Group;Week;Year;Age;Vax_status;Value
antal;cases;notprevpos;14;2022;0-5;Ingen vaccination;143,0
antal;cases;notprevpos;14;2022;0-5;Første vaccination;2,0
antal;cases;notprevpos;14;2022;0-5;Anden vaccination;7,0
antal;cases;notprevpos;14;2022;0-5;Fuld effekt efter primært forløb;7,0
antal;cases;notprevpos;14;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;13;2022;0-5;Ingen vaccination;188,0
antal;cases;notprevpos;13;2022;0-5;Første vaccination;1,0
antal;cases;notprevpos;13;2022;0-5;Anden vaccination;7,0
antal;cases;notprevpos;13;2022;0-5;Fuld effekt efter primært forløb;7,0
antal;cases;notprevpos;13;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;12;2022;0-5;Ingen vaccination;381,0
antal;cases;notprevpos;12;2022;0-5;Første vaccination;3,0
antal;cases;notprevpos;12;2022;0-5;Anden vaccination;15,0
antal;cases;notprevpos;12;2022;0-5;Fuld effekt efter primært forløb;15,0
antal;cases;notprevpos;12;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;11;2022;0-5;Ingen vaccination;576,0
antal;cases;notprevpos;11;2022;0-5;Første vaccination;4,0
antal;cases;notprevpos;11;2022;0-5;Anden vaccination;32,0
antal;cases;notprevpos;11;2022;0-5;Fuld effekt efter primært forløb;31,0
antal;cases;notprevpos;11;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;10;2022;0-5;Ingen vaccination;1432,0
antal;cases;notprevpos;10;2022;0-5;Første vaccination;10,0
antal;cases;notprevpos;10;2022;0-5;Anden vaccination;80,0
antal;cases;notprevpos;10;2022;0-5;Fuld effekt efter primært forløb;80,0
antal;cases;notprevpos;10;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;9;2022;0-5;Ingen vaccination;3012,0
antal;cases;notprevpos;9;2022;0-5;Første vaccination;33,0
antal;cases;notprevpos;9;2022;0-5;Anden vaccination;179,0
antal;cases;notprevpos;9;2022;0-5;Fuld effekt efter primært forløb;178,0
antal;cases;notprevpos;9;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;8;2022;0-5;Ingen vaccination;4794,0
antal;cases;notprevpos;8;2022;0-5;Første vaccination;57,0
antal;cases;notprevpos;8;2022;0-5;Anden vaccination;262,0
antal;cases;notprevpos;8;2022;0-5;Fuld effekt efter primært forløb;260,0
antal;cases;notprevpos;8;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;7;2022;0-5;Ingen vaccination;9048,0
antal;cases;notprevpos;7;2022;0-5;Første vaccination;113,0
antal;cases;notprevpos;7;2022;0-5;Anden vaccination;475,0
antal;cases;notprevpos;7;2022;0-5;Fuld effekt efter primært forløb;454,0
antal;cases;notprevpos;7;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;6;2022;0-5;Ingen vaccination;15583,0
antal;cases;notprevpos;6;2022;0-5;Første vaccination;251,0
antal;cases;notprevpos;6;2022;0-5;Anden vaccination;775,0
antal;cases;notprevpos;6;2022;0-5;Fuld effekt efter primært forløb;698,0
antal;cases;notprevpos;6;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;5;2022;0-5;Ingen vaccination;18193,0
antal;cases;notprevpos;5;2022;0-5;Første vaccination;401,0
antal;cases;notprevpos;5;2022;0-5;Anden vaccination;907,0
antal;cases;notprevpos;5;2022;0-5;Fuld effekt efter primært forløb;710,0
antal;cases;notprevpos;5;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;4;2022;0-5;Ingen vaccination;18475,0
antal;cases;notprevpos;4;2022;0-5;Første vaccination;602,0
antal;cases;notprevpos;4;2022;0-5;Anden vaccination;810,0
antal;cases;notprevpos;4;2022;0-5;Fuld effekt efter primært forløb;523,0
antal;cases;notprevpos;4;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;3;2022;0-5;Ingen vaccination;20425,0
antal;cases;notprevpos;3;2022;0-5;Første vaccination;770,0
antal;cases;notprevpos;3;2022;0-5;Anden vaccination;683,0
antal;cases;notprevpos;3;2022;0-5;Fuld effekt efter primært forløb;253,0
antal;cases;notprevpos;3;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;2;2022;0-5;Ingen vaccination;15068,0
antal;cases;notprevpos;2;2022;0-5;Første vaccination;682,0
antal;cases;notprevpos;2;2022;0-5;Anden vaccination;376,0
antal;cases;notprevpos;2;2022;0-5;Fuld effekt efter primært forløb;20,0
antal;cases;notprevpos;2;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;1;2022;0-5;Ingen vaccination;7106,0
antal;cases;notprevpos;1;2022;0-5;Første vaccination;348,0
antal;cases;notprevpos;1;2022;0-5;Anden vaccination;52,0
antal;cases;notprevpos;1;2022;0-5;Fuld effekt efter primært forløb;1,0
antal;cases;notprevpos;1;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;52;2021;0-5;Ingen vaccination;4863,0
antal;cases;notprevpos;52;2021;0-5;Første vaccination;257,0
antal;cases;notprevpos;52;2021;0-5;Anden vaccination;0,0
antal;cases;notprevpos;52;2021;0-5;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;52;2021;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;51;2021;0-5;Ingen vaccination;3127,0
antal;cases;notprevpos;51;2021;0-5;Første vaccination;135,0
antal;cases;notprevpos;51;2021;0-5;Anden vaccination;0,0
antal;cases;notprevpos;51;2021;0-5;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;51;2021;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;14;2022;6-11;Ingen vaccination;55,0
antal;cases;notprevpos;14;2022;6-11;Første vaccination;6,0
antal;cases;notprevpos;14;2022;6-11;Anden vaccination;92,0
antal;cases;notprevpos;14;2022;6-11;Fuld effekt efter primært forløb;91,0
antal;cases;notprevpos;14;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;13;2022;6-11;Ingen vaccination;71,0
antal;cases;notprevpos;13;2022;6-11;Første vaccination;9,0
antal;cases;notprevpos;13;2022;6-11;Anden vaccination;126,0
antal;cases;notprevpos;13;2022;6-11;Fuld effekt efter primært forløb;126,0
antal;cases;notprevpos;13;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;12;2022;6-11;Ingen vaccination;114,0
