Date;name;daily;ra
2020-02-15;Positive;0,000000e+00;NA
2020-02-15;Tested;0,000000e+00;NA
2020-02-15;Percent;NA;NA
2020-02-15;Index;NA;NA
2020-02-15;Admitted;NA;NA
2020-02-15;Deaths;NA;NA
2020-02-16;Positive;0,000000e+00;NA
2020-02-16;Tested;0,000000e+00;NA
2020-02-16;Percent;NA;NA
2020-02-16;Index;NA;NA
2020-02-16;Admitted;NA;NA
2020-02-16;Deaths;NA;NA
2020-02-17;Positive;0,000000e+00;NA
2020-02-17;Tested;1,000000e+00;NA
2020-02-17;Percent;0,000000e+00;NA
2020-02-17;Index;0,000000e+00;NA
2020-02-17;Admitted;NA;NA
2020-02-17;Deaths;NA;NA
2020-02-18;Positive;0,000000e+00;0,000000e+00
2020-02-18;Tested;2,000000e+00;8,571429e-01
2020-02-18;Percent;0,000000e+00;NA
2020-02-18;Index;0,000000e+00;NA
2020-02-18;Admitted;NA;NA
2020-02-18;Deaths;NA;NA
2020-02-19;Positive;0,000000e+00;0,000000e+00
2020-02-19;Tested;2,000000e+00;1,000000e+00
2020-02-19;Percent;0,000000e+00;NA
2020-02-19;Index;0,000000e+00;NA
2020-02-19;Admitted;NA;NA
2020-02-19;Deaths;NA;NA
2020-02-20;Positive;0,000000e+00;0,000000e+00
2020-02-20;Tested;1,000000e+00;1,000000e+00
2020-02-20;Percent;0,000000e+00;NA
2020-02-20;Index;0,000000e+00;NA
2020-02-20;Admitted;NA;NA
2020-02-20;Deaths;NA;NA
2020-02-21;Positive;0,000000e+00;0,000000e+00
2020-02-21;Tested;0,000000e+00;8,571429e-01
2020-02-21;Percent;NA;NA
2020-02-21;Index;NA;NA
2020-02-21;Admitted;NA;NA
2020-02-21;Deaths;NA;NA
2020-02-22;Positive;0,000000e+00;0,000000e+00
2020-02-22;Tested;1,000000e+00;2,000000e+00
2020-02-22;Percent;0,000000e+00;NA
2020-02-22;Index;0,000000e+00;NA
2020-02-22;Admitted;NA;NA
2020-02-22;Deaths;NA;NA
