Date;Tested;Positive;Region;Landsdel
2020-03-01;11;1;Hovedstaden;København
2020-03-01;3;0;Hovedstaden;Københavns omegn
2020-03-01;3;0;Hovedstaden;Nordsjælland
2020-03-01;2;0;Hovedstaden;Bornholm
2020-03-01;1;0;Sjælland;Østsjælland
2020-03-01;3;0;Sjælland;Vest- og Sydsjælland
2020-03-01;2;0;Syddanmark;Fyn
2020-03-01;1;0;Syddanmark;Sydjylland
2020-03-01;15;0;Midtjylland;Østjylland
2020-03-01;4;0;Midtjylland;Vestjylland
2020-03-01;3;0;Nordjylland;Nordjylland
2020-03-02;13;2;Hovedstaden;København
2020-03-02;6;0;Hovedstaden;Københavns omegn
2020-03-02;7;0;Hovedstaden;Nordsjælland
2020-03-02;0;0;Hovedstaden;Bornholm
2020-03-02;4;0;Sjælland;Østsjælland
2020-03-02;10;1;Sjælland;Vest- og Sydsjælland
2020-03-02;4;1;Syddanmark;Fyn
2020-03-02;3;0;Syddanmark;Sydjylland
2020-03-02;23;0;Midtjylland;Østjylland
2020-03-02;2;0;Midtjylland;Vestjylland
2020-03-02;6;0;Nordjylland;Nordjylland
2020-03-03;14;4;Hovedstaden;København
2020-03-03;5;0;Hovedstaden;Københavns omegn
2020-03-03;9;0;Hovedstaden;Nordsjælland
2020-03-03;0;0;Hovedstaden;Bornholm
2020-03-03;3;0;Sjælland;Østsjælland
2020-03-03;4;0;Sjælland;Vest- og Sydsjælland
2020-03-03;2;0;Syddanmark;Fyn
2020-03-03;1;0;Syddanmark;Sydjylland
2020-03-03;16;0;Midtjylland;Østjylland
2020-03-03;3;0;Midtjylland;Vestjylland
2020-03-03;3;0;Nordjylland;Nordjylland
2020-03-04;16;1;Hovedstaden;København
2020-03-04;7;1;Hovedstaden;Københavns omegn
2020-03-04;9;0;Hovedstaden;Nordsjælland
2020-03-04;0;0;Hovedstaden;Bornholm
2020-03-04;10;1;Sjælland;Østsjælland
2020-03-04;6;0;Sjælland;Vest- og Sydsjælland
2020-03-04;6;0;Syddanmark;Fyn
2020-03-04;9;0;Syddanmark;Sydjylland
2020-03-04;13;0;Midtjylland;Østjylland
2020-03-04;3;0;Midtjylland;Vestjylland
2020-03-04;8;0;Nordjylland;Nordjylland
2020-03-05;17;5;Hovedstaden;København
2020-03-05;7;0;Hovedstaden;Københavns omegn
2020-03-05;12;5;Hovedstaden;Nordsjælland
2020-03-05;0;0;Hovedstaden;Bornholm
2020-03-05;12;0;Sjælland;Østsjælland
2020-03-05;26;0;Sjælland;Vest- og Sydsjælland
2020-03-05;5;0;Syddanmark;Fyn
2020-03-05;6;0;Syddanmark;Sydjylland
2020-03-05;15;0;Midtjylland;Østjylland
2020-03-05;4;0;Midtjylland;Vestjylland
2020-03-05;2;0;Nordjylland;Nordjylland
2020-03-06;25;0;Hovedstaden;København
2020-03-06;13;0;Hovedstaden;Københavns omegn
2020-03-06;11;0;Hovedstaden;Nordsjælland
2020-03-06;0;0;Hovedstaden;Bornholm
2020-03-06;4;0;Sjælland;Østsjælland
2020-03-06;13;1;Sjælland;Vest- og Sydsjælland
2020-03-06;7;0;Syddanmark;Fyn
2020-03-06;4;0;Syddanmark;Sydjylland
2020-03-06;27;0;Midtjylland;Østjylland
2020-03-06;14;0;Midtjylland;Vestjylland
2020-03-06;5;1;Nordjylland;Nordjylland
2020-03-07;23;2;Hovedstaden;København
2020-03-07;9;1;Hovedstaden;Københavns omegn
2020-03-07;17;5;Hovedstaden;Nordsjælland
2020-03-07;0;0;Hovedstaden;Bornholm
2020-03-07;2;0;Sjælland;Østsjælland
2020-03-07;8;0;Sjælland;Vest- og Sydsjælland
2020-03-07;8;0;Syddanmark;Fyn
2020-03-07;2;0;Syddanmark;Sydjylland
2020-03-07;24;1;Midtjylland;Østjylland
2020-03-07;2;0;Midtjylland;Vestjylland
2020-03-07;7;0;Nordjylland;Nordjylland
2020-03-08;38;5;Hovedstaden;København
2020-03-08;16;1;Hovedstaden;Københavns omegn
2020-03-08;22;6;Hovedstaden;Nordsjælland
2020-03-08;0;0;Hovedstaden;Bornholm
2020-03-08;11;2;Sjælland;Østsjælland
2020-03-08;4;2;Sjælland;Vest- og Sydsjælland
2020-03-08;10;1;Syddanmark;Fyn
2020-03-08;17;8;Syddanmark;Sydjylland
2020-03-08;73;22;Midtjylland;Østjylland
2020-03-08;2;0;Midtjylland;Vestjylland
2020-03-08;32;1;Nordjylland;Nordjylland
2020-03-09;73;29;Hovedstaden;København
2020-03-09;42;20;Hovedstaden;Københavns omegn
2020-03-09;42;22;Hovedstaden;Nordsjælland
2020-03-09;0;0;Hovedstaden;Bornholm
2020-03-09;39;12;Sjælland;Østsjælland
2020-03-09;54;25;Sjælland;Vest- og Sydsjælland
2020-03-09;33;20;Syddanmark;Fyn
2020-03-09;54;29;Syddanmark;Sydjylland
2020-03-09;187;38;Midtjylland;Østjylland
2020-03-09;23;7;Midtjylland;Vestjylland
2020-03-09;25;8;Nordjylland;Nordjylland
2020-03-10;146;63;Hovedstaden;København
2020-03-10;60;24;Hovedstaden;Københavns omegn
2020-03-10;73;29;Hovedstaden;Nordsjælland
2020-03-10;0;0;Hovedstaden;Bornholm
2020-03-10;49;18;Sjælland;Østsjælland
2020-03-10;49;9;Sjælland;Vest- og Sydsjælland
2020-03-10;35;11;Syddanmark;Fyn
2020-03-10;67;16;Syddanmark;Sydjylland
2020-03-10;226;63;Midtjylland;Østjylland
2020-03-10;39;9;Midtjylland;Vestjylland
2020-03-10;52;13;Nordjylland;Nordjylland
2020-03-11;136;43;Hovedstaden;København
2020-03-11;76;27;Hovedstaden;Københavns omegn
2020-03-11;60;18;Hovedstaden;Nordsjælland
2020-03-11;8;0;Hovedstaden;Bornholm
2020-03-11;80;13;Sjælland;Østsjælland
2020-03-11;84;14;Sjælland;Vest- og Sydsjælland
2020-03-11;42;14;Syddanmark;Fyn
2020-03-11;94;29;Syddanmark;Sydjylland
2020-03-11;169;22;Midtjylland;Østjylland
2020-03-11;30;3;Midtjylland;Vestjylland
2020-03-11;94;23;Nordjylland;Nordjylland
2020-03-12;77;9;Hovedstaden;København
2020-03-12;47;6;Hovedstaden;Københavns omegn
2020-03-12;29;3;Hovedstaden;Nordsjælland
2020-03-12;2;0;Hovedstaden;Bornholm
2020-03-12;27;3;Sjælland;Østsjælland
2020-03-12;66;3;Sjælland;Vest- og Sydsjælland
2020-03-12;60;6;Syddanmark;Fyn
2020-03-12;43;2;Syddanmark;Sydjylland
2020-03-12;206;6;Midtjylland;Østjylland
2020-03-12;53;2;Midtjylland;Vestjylland
2020-03-12;43;1;Nordjylland;Nordjylland
2020-03-13;107;11;Hovedstaden;København
2020-03-13;64;4;Hovedstaden;Københavns omegn
2020-03-13;72;6;Hovedstaden;Nordsjælland
2020-03-13;2;0;Hovedstaden;Bornholm
2020-03-13;23;2;Sjælland;Østsjælland
2020-03-13;64;1;Sjælland;Vest- og Sydsjælland
2020-03-13;77;1;Syddanmark;Fyn
2020-03-13;51;0;Syddanmark;Sydjylland
2020-03-13;140;3;Midtjylland;Østjylland
2020-03-13;43;4;Midtjylland;Vestjylland
2020-03-13;55;1;Nordjylland;Nordjylland
2020-03-14;91;6;Hovedstaden;København
2020-03-14;69;10;Hovedstaden;Københavns omegn
2020-03-14;56;0;Hovedstaden;Nordsjælland
2020-03-14;1;0;Hovedstaden;Bornholm
2020-03-14;19;3;Sjælland;Østsjælland
2020-03-14;45;4;Sjælland;Vest- og Sydsjælland
2020-03-14;51;3;Syddanmark;Fyn
2020-03-14;49;2;Syddanmark;Sydjylland
2020-03-14;111;4;Midtjylland;Østjylland
2020-03-14;37;2;Midtjylland;Vestjylland
2020-03-14;46;3;Nordjylland;Nordjylland
2020-03-15;104;11;Hovedstaden;København
2020-03-15;86;9;Hovedstaden;Københavns omegn
2020-03-15;79;4;Hovedstaden;Nordsjælland
2020-03-15;6;1;Hovedstaden;Bornholm
2020-03-15;33;4;Sjælland;Østsjælland
2020-03-15;74;6;Sjælland;Vest- og Sydsjælland
2020-03-15;48;2;Syddanmark;Fyn
2020-03-15;75;1;Syddanmark;Sydjylland
2020-03-15;123;2;Midtjylland;Østjylland
2020-03-15;35;2;Midtjylland;Vestjylland
2020-03-15;49;3;Nordjylland;Nordjylland
2020-03-16;161;27;Hovedstaden;København
2020-03-16;118;15;Hovedstaden;Københavns omegn
2020-03-16;99;8;Hovedstaden;Nordsjælland
2020-03-16;3;0;Hovedstaden;Bornholm
2020-03-16;27;3;Sjælland;Østsjælland
2020-03-16;91;12;Sjælland;Vest- og Sydsjælland
2020-03-16;77;5;Syddanmark;Fyn
2020-03-16;85;1;Syddanmark;Sydjylland
2020-03-16;209;0;Midtjylland;Østjylland
2020-03-16;71;2;Midtjylland;Vestjylland
2020-03-16;60;1;Nordjylland;Nordjylland
2020-03-17;150;24;Hovedstaden;København
2020-03-17;123;19;Hovedstaden;Københavns omegn
2020-03-17;92;6;Hovedstaden;Nordsjælland
2020-03-17;11;0;Hovedstaden;Bornholm
2020-03-17;34;4;Sjælland;Østsjælland
2020-03-17;85;6;Sjælland;Vest- og Sydsjælland
2020-03-17;73;2;Syddanmark;Fyn
2020-03-17;76;4;Syddanmark;Sydjylland
2020-03-17;161;4;Midtjylland;Østjylland
2020-03-17;59;3;Midtjylland;Vestjylland
2020-03-17;63;4;Nordjylland;Nordjylland
2020-03-18;191;24;Hovedstaden;København
2020-03-18;135;15;Hovedstaden;Københavns omegn
2020-03-18;131;9;Hovedstaden;Nordsjælland
2020-03-18;9;0;Hovedstaden;Bornholm
2020-03-18;40;1;Sjælland;Østsjælland
2020-03-18;109;13;Sjælland;Vest- og Sydsjælland
2020-03-18;69;2;Syddanmark;Fyn
2020-03-18;134;2;Syddanmark;Sydjylland
2020-03-18;205;8;Midtjylland;Østjylland
2020-03-18;102;3;Midtjylland;Vestjylland
2020-03-18;78;6;Nordjylland;Nordjylland
2020-03-19;245;27;Hovedstaden;København
2020-03-19;143;16;Hovedstaden;Københavns omegn
2020-03-19;141;10;Hovedstaden;Nordsjælland
2020-03-19;14;2;Hovedstaden;Bornholm
2020-03-19;94;3;Sjælland;Østsjælland
2020-03-19;127;3;Sjælland;Vest- og Sydsjælland
2020-03-19;87;5;Syddanmark;Fyn
2020-03-19;250;11;Syddanmark;Sydjylland
2020-03-19;425;9;Midtjylland;Østjylland
2020-03-19;221;15;Midtjylland;Vestjylland
2020-03-19;81;5;Nordjylland;Nordjylland
2020-03-20;199;26;Hovedstaden;København
2020-03-20;101;17;Hovedstaden;Københavns omegn
2020-03-20;94;10;Hovedstaden;Nordsjælland
2020-03-20;5;2;Hovedstaden;Bornholm
2020-03-20;55;2;Sjælland;Østsjælland
